Month,Average Value
2019-07,64.75
2019-08,64.75
2019-09,63.6
2019-10,68.0
2019-11,63.5
2019-12,62.6
2020-01,36.75
2020-02,32.25
2020-03,30.2
2020-04,31.0
2020-05,29.2
2020-06,29.25
2020-07,31.0
2020-08,27.8
2020-09,26.5
2020-10,29.25
2020-11,33.2
2020-12,40.0
2021-01,71.4
2021-02,60.25
2021-03,74.25
2021-04,46.25
2021-05,38.8
2021-06,33.5
2021-07,34.75
2021-08,30.8
2021-09,28.5
2021-10,24.2
2021-11,23.0
2021-12,26.25
2022-01,29.0
2022-02,29.0
2022-03,29.75
2022-04,23.25
2022-05,22.8
2022-06,25.25
2022-07,36.8
2022-08,24.5
2022-09,21.25
2022-10,18.6
2022-11,17.0
2022-12,18.5
2023-01,19.8
2023-02,19.0
2023-03,22.0
2023-04,54.2
2023-05,46.5
2023-06,50.25
2023-07,28.8
2023-08,22.5
2023-09,19.5
2023-10,28.4
2023-11,31.75
2023-12,42.2
2024-01,24.25
2024-02,19.75
2024-03,19.6
2024-04,21.25
2024-05,33.25
2024-06,28.0
