Month,Average Value
2019-07,1.25
2019-08,1.5
2019-09,1.0
2019-10,2.0
2019-11,1.5
2019-12,1.6
2020-01,1.75
2020-02,1.5
2020-03,1.4
2020-04,1.75
2020-05,2.0
2020-06,2.0
2020-07,2.0
2020-08,2.0
2020-09,2.0
2020-10,2.0
2020-11,1.6
2020-12,8.25
2021-01,59.4
2021-02,73.25
2021-03,63.0
2021-04,31.5
2021-05,21.4
2021-06,19.5
2021-07,19.0
2021-08,21.4
2021-09,25.25
2021-10,56.4
2021-11,47.0
2021-12,81.0
2022-01,41.0
2022-02,30.25
2022-03,33.75
2022-04,25.0
2022-05,21.2
2022-06,21.75
2022-07,23.8
2022-08,22.25
2022-09,21.75
2022-10,18.0
2022-11,17.0
2022-12,20.5
2023-01,21.8
2023-02,21.75
2023-03,21.75
2023-04,20.6
2023-05,20.5
2023-06,26.0
2023-07,89.6
2023-08,86.75
2023-09,80.25
2023-10,37.6
2023-11,22.5
2023-12,22.8
2024-01,22.5
2024-02,20.5
2024-03,23.0
2024-04,50.0
2024-05,55.5
2024-06,70.0
